idx,id,title,url,date
1,LE8iCYYoXh4,"Dr. Berg Works on Duane Clemons, Former NFL Player",https://www.youtube.com/watch?v=LE8iCYYoXh4,2008-12-19
2,XO-iyh2Z_s8,Body Types,https://www.youtube.com/watch?v=XO-iyh2Z_s8,2009-02-17
3,lgyf5KoRfzE,Exercise,https://www.youtube.com/watch?v=lgyf5KoRfzE,2009-02-17
4,Q5wN32_3m4o,"Adrenal, Stress and Your Sleep",https://www.youtube.com/watch?v=Q5wN32_3m4o,2009-02-17
5,McGFltMvSIo,Vitamins and Nutrients for Weight Loss,https://www.youtube.com/watch?v=McGFltMvSIo,2009-02-19
6,nTOrG4w660c,Understanding the Best Nutrients for Weight Loss,https://www.youtube.com/watch?v=nTOrG4w660c,2009-02-19
7,H-trFS60Ku4,Dr. Berg has an Albino Deer in His Backyard,https://www.youtube.com/watch?v=H-trFS60Ku4,unknown
8,z_pRjz-0X7o,Dr. Berg Talks about Healthy Weight Loss on News Channel 8,https://www.youtube.com/watch?v=z_pRjz-0X7o,2009-03-21
9,49TxVYeq4m4,Dr.Eric Berg @ News Channel 8 (Behind The Scenes),https://www.youtube.com/watch?v=49TxVYeq4m4,2009-03-31
10,08KUhaJrejs,Body Shape Seminar (Part 1),https://www.youtube.com/watch?v=08KUhaJrejs,2009-04-01
11,LqYD6ScfV5Y,Body Shape Seminar (Part 2),https://www.youtube.com/watch?v=LqYD6ScfV5Y,2009-04-01
12,IquS1CMFYDA,Body Shape Seminar (Part 3),https://www.youtube.com/watch?v=IquS1CMFYDA,2009-04-01
13,_kuQPktErD4,Dr. Berg Speaks at the Federal Communication Commission,https://www.youtube.com/watch?v=_kuQPktErD4,2009-04-04
14,hvYEFh3em3Q,Dr. Berg in the Media,https://www.youtube.com/watch?v=hvYEFh3em3Q,unknown
15,mLk7prs2IdM,Dr. Eric Berg Review: Gaining Weight after Smoking,https://www.youtube.com/watch?v=mLk7prs2IdM,2009-07-28
16,XefowjsRkDo,Dr. Berg's Example of Acupressure for Weight Loss,https://www.youtube.com/watch?v=XefowjsRkDo,2009-07-30
17,_xR5rYmSvc0,Dr Eric Berg's Review: No More Problems with Sleeping,https://www.youtube.com/watch?v=_xR5rYmSvc0,2009-07-30
18,Fjqtjq4WRNg,Dr. Eric Berg's Review: Patient Speak About Her Success,https://www.youtube.com/watch?v=Fjqtjq4WRNg,2009-07-30
19,Lk1RlIHx7F0,Body Type Video,https://www.youtube.com/watch?v=Lk1RlIHx7F0,2010-04-24
20,E7yVINKxiew,Rid Craving,https://www.youtube.com/watch?v=E7yVINKxiew,2010-06-24
21,G3AFxauJeok,Fast Healthy Weight Loss - Patients Speak Their Success!,https://www.youtube.com/watch?v=G3AFxauJeok,2010-07-13
22,rC7cXuNlyR4,Success Story with Belly Fat Loss - Lost over 100 lbs,https://www.youtube.com/watch?v=rC7cXuNlyR4,2010-07-20
23,M25xpZk5WtU,How to Burn Fat I Dr. Berg on Fox and Friends I Talks About Body Types,https://www.youtube.com/watch?v=M25xpZk5WtU,2010-08-05
24,bNnmCqGMy8Q,Dr. Berg Talks about Body Types on News 9,https://www.youtube.com/watch?v=bNnmCqGMy8Q,2010-08-05
25,kJegLw2qtPc,Vitamin D Adrenals Belly Fat,https://www.youtube.com/watch?v=kJegLw2qtPc,2010-08-10
26,Gr5QxkSm9xs,How to Trigger Your Fat Burning Hormones,https://www.youtube.com/watch?v=Gr5QxkSm9xs,2010-08-10
27,3GWnU_lma7w,"Sleep, Cortisol, & Belly Fat",https://www.youtube.com/watch?v=3GWnU_lma7w,2010-08-10
28,T3eo4p2LuYw,Thyroid Body Type - Dr. Berg,https://www.youtube.com/watch?v=T3eo4p2LuYw,2010-08-10
29,yQ9jy2eCb5I,"Cortisol, The Good, The Bad & The Ugly",https://www.youtube.com/watch?v=yQ9jy2eCb5I,2010-08-10
30,TNUaDYqt0uA,The Best Tip for Reducing Stress Hormones,https://www.youtube.com/watch?v=TNUaDYqt0uA,2010-08-10
31,hGiN_a0rYJY,Adrenal Burnout,https://www.youtube.com/watch?v=hGiN_a0rYJY,2010-10-13
32,pbuCC33gKck,Get Rid of Cravings at Night,https://www.youtube.com/watch?v=pbuCC33gKck,2010-10-13
33,5Q6g9e1O35s,Dr Eric Berg's Review: After 2 Adrenal Acupressure Treatments,https://www.youtube.com/watch?v=5Q6g9e1O35s,2010-11-05
34,HS0Bm5oB8YI,Dr. Berg's Body Types,https://www.youtube.com/watch?v=HS0Bm5oB8YI,2011-01-06
35,E_AvZcJ9IV4,The Best Fat Burning Exercise,https://www.youtube.com/watch?v=E_AvZcJ9IV4,2011-06-07
36,qKSlhns1xmg,Dr. Berg Grows Cruciferous Vegetables in his Basement (Part 1),https://www.youtube.com/watch?v=qKSlhns1xmg,2011-11-27
37,8JJm4HRq8Oo,Dr. Berg Grows Kale in His Basement (Part 2),https://www.youtube.com/watch?v=8JJm4HRq8Oo,2011-11-27
38,KkBWi3G9qM0,The Hidden Source Belly Fat: MSG Monosodium Glutamate,https://www.youtube.com/watch?v=KkBWi3G9qM0,2011-11-27
39,s3HfT4yI76A,Dr. Berg on Sport's Talk,https://www.youtube.com/watch?v=s3HfT4yI76A,unknown
40,hzYhdetIiHg,"Dr. Eric Berg, Seminar testimonial",https://www.youtube.com/watch?v=hzYhdetIiHg,2011-11-27
41,ZBpNtVSmTN4,90 Year Old - Amazing Story,https://www.youtube.com/watch?v=ZBpNtVSmTN4,2011-11-27
42,yhxWd2jveT8,The Best and Worst Weight Loss Diets,https://www.youtube.com/watch?v=yhxWd2jveT8,2011-11-27
43,Sggj4HgaoO0,Anxiety Relief Success,https://www.youtube.com/watch?v=Sggj4HgaoO0,2011-11-27
44,FckvKNAi44U,Interesting Success Story,https://www.youtube.com/watch?v=FckvKNAi44U,2011-11-27
45,SuRyHA2wQc8,Stretches for Back Pain,https://www.youtube.com/watch?v=SuRyHA2wQc8,2011-11-27
46,919B_Ey0fuU,Using Acupressure for Headaches,https://www.youtube.com/watch?v=919B_Ey0fuU,2011-11-27
47,YF00ySD6nKE,Dr Berg's Patient Speak About Their Success,https://www.youtube.com/watch?v=YF00ySD6nKE,2011-11-29
48,rOd4QNwDTv4,"Dr  Eric Berg, Seminar testimonial",https://www.youtube.com/watch?v=rOd4QNwDTv4,2011-11-29
49,8SixpXSS6Bw,Register for Dr. Berg's Seminar,https://www.youtube.com/watch?v=8SixpXSS6Bw,2011-11-29
50,_jV90HZceus,A Great Weight Loss Success,https://www.youtube.com/watch?v=_jV90HZceus,2011-11-29
51,lZnVLG-nLTE,"Dr  Eric Berg, Seminar testimonial",https://www.youtube.com/watch?v=lZnVLG-nLTE,2011-11-29
52,fCHw_dW7oH4,"Dr. Eric Berg, Seminar Success with Losing Weight",https://www.youtube.com/watch?v=fCHw_dW7oH4,2011-11-29
53,0rh0qiyPxdY,"Dr  Eric Berg, Seminar testimonial",https://www.youtube.com/watch?v=0rh0qiyPxdY,2011-11-29
54,HhLJz1-SAhw,"Dr. Eric Berg, Gets Success with Weight Loss",https://www.youtube.com/watch?v=HhLJz1-SAhw,2011-11-29
55,W_EHiOd8yHQ,A Better Way to Track Weight Loss,https://www.youtube.com/watch?v=W_EHiOd8yHQ,2011-11-29
56,FTZcZz1ESII,Dr. Berg Discusses Liver Cleansing Food on News Channel 8 Sports Talk Dr. Eric Berg 2,https://www.youtube.com/watch?v=FTZcZz1ESII,2011-11-29
57,wr82y-dGoTg,The Importance of Sleep and Weight Loss,https://www.youtube.com/watch?v=wr82y-dGoTg,2011-11-29
58,A7MsLHlDEDc,How Sugar Effects Your Body,https://www.youtube.com/watch?v=A7MsLHlDEDc,2011-11-29
59,krwKqnmidC8,What are Carbohydrates?,https://www.youtube.com/watch?v=krwKqnmidC8,2011-11-29
60,sINOePVcD3I,Understanding Body Types,https://www.youtube.com/watch?v=sINOePVcD3I,unknown
61,NqOpIj_XXFU,What are Phytonutrients?,https://www.youtube.com/watch?v=NqOpIj_XXFU,2011-11-29
62,TTqsVzse5HY,Dr. Berg Explains His Pain After Surgery,https://www.youtube.com/watch?v=TTqsVzse5HY,2011-11-29
63,x9espCyDUp8,Dr. Berg's follow up to his shoulder fracture,https://www.youtube.com/watch?v=x9espCyDUp8,2011-11-29
64,k6-Tkv_Jnz0,The 600 pound guy,https://www.youtube.com/watch?v=k6-Tkv_Jnz0,2011-11-29
65,gc4P7uhZCK8,Diet Plan Success,https://www.youtube.com/watch?v=gc4P7uhZCK8,2011-11-29
66,UUV7CRT8lbE,How to Rid Stretch Marks,https://www.youtube.com/watch?v=UUV7CRT8lbE,2011-11-29
67,v-qINKfAm7U,Overcoming Temptation and Help with Weight Loss!,https://www.youtube.com/watch?v=v-qINKfAm7U,2011-11-29
68,-LfNqA61-aU,"Improved Breathing, Better Sleep and More Energy",https://www.youtube.com/watch?v=-LfNqA61-aU,2011-11-29
69,giPkBbm52CM,The HCG Diet - Reviews,https://www.youtube.com/watch?v=giPkBbm52CM,2011-11-29
70,EsGvIsqGFpU,Get Rid of Cravings at Night,https://www.youtube.com/watch?v=EsGvIsqGFpU,2011-11-30
71,eRjBkoFy9IA,The Healthiest Diet Explained By Dr. Berg,https://www.youtube.com/watch?v=eRjBkoFy9IA,2011-11-30
72,p7KMpyQ7x9k,A Great Diet Success,https://www.youtube.com/watch?v=p7KMpyQ7x9k,2011-11-30
73,WvO6N9vlmCo,Successes from The 7 Principles of Fat Burning,https://www.youtube.com/watch?v=WvO6N9vlmCo,2011-12-12
74,MQsDeZNlk4c,The Drink More Water Myth,https://www.youtube.com/watch?v=MQsDeZNlk4c,2012-04-04
75,vadPxKRGm7k,Foods that Burn Fat,https://www.youtube.com/watch?v=vadPxKRGm7k,2012-04-04
76,M9Isr1ON3lE,Why am I Bloated?,https://www.youtube.com/watch?v=M9Isr1ON3lE,2012-04-04
77,8Ray80ec9mk,The Best Weight Loss Meal Replacement Shake Ingredients,https://www.youtube.com/watch?v=8Ray80ec9mk,2012-04-04
78,LRxN-30oJx8,The Ultimate Exercise for Posture,https://www.youtube.com/watch?v=LRxN-30oJx8,2012-04-04
79,vjHYuEj43fg,Reverse Sit-ups for Belly Fat,https://www.youtube.com/watch?v=vjHYuEj43fg,2012-04-14
80,fGT5cISbXa4,How to Stop Cravings for Sugar,https://www.youtube.com/watch?v=fGT5cISbXa4,2012-04-14
81,HNNk31aGaYo,Make Your Own Weight Loss Drink,https://www.youtube.com/watch?v=HNNk31aGaYo,2012-04-14
82,DnvnKnu7YBI,The Best and Worst Vitamin C,https://www.youtube.com/watch?v=DnvnKnu7YBI,2012-04-14
83,V6Zy00bU5Bo,Cheryl Jackson Radio Interview on 104.1 Talking about the Adrenal,https://www.youtube.com/watch?v=V6Zy00bU5Bo,2012-04-14
84,s5h3VoMQt9g,The Best and Worst Type of Calcium,https://www.youtube.com/watch?v=s5h3VoMQt9g,2012-04-14
85,41HnMrqZAmU,A Great Tool for Stress Relief,https://www.youtube.com/watch?v=41HnMrqZAmU,2012-04-18
86,Gb5Mztmx-U0,Getting the Right Diet for Your Body Type,https://www.youtube.com/watch?v=Gb5Mztmx-U0,2012-04-18
87,hTqDCao_Caw,How Not to Become a Procrastinator,https://www.youtube.com/watch?v=hTqDCao_Caw,2012-04-18
88,CIZ3ake2ZBo,Kale Smoothies Recipes,https://www.youtube.com/watch?v=CIZ3ake2ZBo,2012-04-18
89,6K3oJW26D58,No More Problems with Sleeping,https://www.youtube.com/watch?v=6K3oJW26D58,2012-04-18
90,1URgrSjgQTY,The 2 Types of Exercise for Belly Fat,https://www.youtube.com/watch?v=1URgrSjgQTY,2012-04-18
91,fKjqBZdf3RQ,Try This Weight Loss Shake,https://www.youtube.com/watch?v=fKjqBZdf3RQ,2012-04-18
92,hC3D_eeULLU,"Do Not Eat Eggs, Unless You Watch This",https://www.youtube.com/watch?v=hC3D_eeULLU,2012-05-07
93,IHfiEXMgZ_4,Enhanced Waters are Really Sugar Water,https://www.youtube.com/watch?v=IHfiEXMgZ_4,2012-05-16
94,gJNnSODgpj0,Fat Burning Candy Bar,https://www.youtube.com/watch?v=gJNnSODgpj0,2012-06-12
95,722_8kxeg5A,What to do for a Tailbone Injury - for Low Back Pain,https://www.youtube.com/watch?v=722_8kxeg5A,2012-06-25
96,GXirii-9ySo,Dr. Berg's Office Quick Tour,https://www.youtube.com/watch?v=GXirii-9ySo,2012-06-25
97,DKnAb8bIUcY,Stabilizing Exercises  for Low Back & Pelvis,https://www.youtube.com/watch?v=DKnAb8bIUcY,unknown
98,kOcBB3OWPpY,Dr. Berg’s Healthy Diet Success Story: Potassium Rich Foods,https://www.youtube.com/watch?v=kOcBB3OWPpY,2012-07-11
99,703oYuzXZNo,Crohns Disease Success,https://www.youtube.com/watch?v=703oYuzXZNo,2012-07-11
100,UrJW9dCxVhU,Fast Weight Loss Success Story,https://www.youtube.com/watch?v=UrJW9dCxVhU,2012-07-11
101,9EObAxl1bZs,Dr. Berg Testimonial on Fast Weight Loss,https://www.youtube.com/watch?v=9EObAxl1bZs,2012-07-11
102,VpHvVSh1gms,Video 6,https://www.youtube.com/watch?v=VpHvVSh1gms,2012-07-11
103,LjgvA4v6FAo,Healthy Weight Loss Success Story by Dr. Eric Berg,https://www.youtube.com/watch?v=LjgvA4v6FAo,2012-07-11
104,mpemNGOgp2o,Video 8,https://www.youtube.com/watch?v=mpemNGOgp2o,2012-07-11
105,2yLcn5Rxw9A,Weight Loss Success stories from Dr Eric Berg's healthy weightloss clinic,https://www.youtube.com/watch?v=2yLcn5Rxw9A,2012-07-11
106,VeNlbaZaR3M,How I Came Up with the 4 Body Types,https://www.youtube.com/watch?v=VeNlbaZaR3M,2012-07-18
107,6huEl-z3uPE,"Dr. Berg Discusses Body Types, Belly Fat & Other Shapes",https://www.youtube.com/watch?v=6huEl-z3uPE,2012-07-23
108,T-5AGcCV1W0,"Fat Burning, Hormones & Aging",https://www.youtube.com/watch?v=T-5AGcCV1W0,2012-07-23
109,Y45YoqRD1Bw,The BEST Acupressure Technique For Neck Tension,https://www.youtube.com/watch?v=Y45YoqRD1Bw,2012-08-05
110,F4IRIIh3QNo,Dr.Berg's Stress Relieving Technique for a Stiff Neck Relief (MUST TRY!),https://www.youtube.com/watch?v=F4IRIIh3QNo,2012-08-05
111,u5eWshrxBCY,The BEST Acupressure Technique for Stress Relief - Part 1 Dr. Eric Berg DC,https://www.youtube.com/watch?v=u5eWshrxBCY,2012-08-05
112,9qLCLBnnEWs,Dr. Berg's Stress Relieving Acupressure Technique for Mid-back Tightness,https://www.youtube.com/watch?v=9qLCLBnnEWs,unknown
113,SC0kh6n8ZzQ,Dr. Berg's Stress Relieving Technique for Upper Neck Tightness,https://www.youtube.com/watch?v=SC0kh6n8ZzQ,unknown
114,mVmgz9oVUo4,Dr. Berg's Stress Relieving Technique for Occipital Tension,https://www.youtube.com/watch?v=mVmgz9oVUo4,unknown
115,U_VFR0HZs7g,The BEST Acupressure Technique for Relieving Stress of Your Adrenals,https://www.youtube.com/watch?v=U_VFR0HZs7g,unknown
116,e49u3rYp9vU,Best Healthy Pasta Recipe for Weight Loss by Dr. Berg,https://www.youtube.com/watch?v=e49u3rYp9vU,unknown
117,cxcMJtFizRU,Burn 450% More Belly Fat by Workout – Dr. Berg,https://www.youtube.com/watch?v=cxcMJtFizRU,unknown
118,XJvdK3W2QIM,Dr. Berg's Weight Loss Success,https://www.youtube.com/watch?v=XJvdK3W2QIM,unknown
119,ujZKXeCrA5g,Do Not Eat Eggs - Unless You Watch This,https://www.youtube.com/watch?v=ujZKXeCrA5g,unknown
120,_m-R4RqRQqM,Dr. Berg's Body Type Seminar,https://www.youtube.com/watch?v=_m-R4RqRQqM,unknown
121,odLJW1KXfqw,"Trace Minerals, the Missing Nutrient in Our Soils, Plants and Bodies!",https://www.youtube.com/watch?v=odLJW1KXfqw,unknown
122,13zda4sCWzI,The Shocking Truth About Our Foods!,https://www.youtube.com/watch?v=13zda4sCWzI,unknown
123,fSO772BFO34,Relief with Reflex Sympathetic Dystrophy (RSD) and Complex Regional Pain Syndrome (CRPS),https://www.youtube.com/watch?v=fSO772BFO34,unknown
124,_EdejK5Tl1Q,"The Two Fat Making Hormones, Cortisol and Insulin / How they Dominate all Six Fat Burning Hormones",https://www.youtube.com/watch?v=_EdejK5Tl1Q,unknown
125,yXEpjTny9bg,It's Get Healthy to Lose Weight NOT Lose Weight to Get Healthy!,https://www.youtube.com/watch?v=yXEpjTny9bg,unknown
126,_SNUm2EqXOs,"Adrenal Body Type, Cortisol & Belly Fat! – Dr. Berg",https://www.youtube.com/watch?v=_SNUm2EqXOs,unknown
127,xvOwfkg9p2o,What to Eat for Your Body Type?,https://www.youtube.com/watch?v=xvOwfkg9p2o,unknown
128,f0G3PtnI0YY,The Best Adrenal Supplement for Adrenal Fatigue,https://www.youtube.com/watch?v=f0G3PtnI0YY,unknown
129,VaUAe-csKjY,How to Read Your Body,https://www.youtube.com/watch?v=VaUAe-csKjY,unknown
130,fgm4GQAlVIc,Dr Eric Berg's Success Story with Sheila Beander,https://www.youtube.com/watch?v=fgm4GQAlVIc,unknown
131,6VSg3gebcO0,Dr. Eric Berg's Client's Testimonial with Debra Carroll,https://www.youtube.com/watch?v=6VSg3gebcO0,unknown
132,cD_llOyLXo0,Dr. Eric Berg's Success with Tracy Moreland,https://www.youtube.com/watch?v=cD_llOyLXo0,unknown
133,QQWTSa9vT7E,Peripheral Neuropathy Nerve Support Formula - Dr. Berg,https://www.youtube.com/watch?v=QQWTSa9vT7E,unknown
134,p2dCU4tc634,Dr Eric Berg's Success Story - Stephanie Williams,https://www.youtube.com/watch?v=p2dCU4tc634,unknown
135,hK111hngfoc,Wheat - Health Destroyer or Body Healer?,https://www.youtube.com/watch?v=hK111hngfoc,unknown
136,Hub-MpPIjr0,Dr. Eric Berg's Success Story with Angela Hightower,https://www.youtube.com/watch?v=Hub-MpPIjr0,unknown
137,PhBAzuKxob8,Dr. Eric Berg's Testimonial with Tobi Harden,https://www.youtube.com/watch?v=PhBAzuKxob8,unknown
138,AhcSWV7d4Ko,Dr Eric Berg interviews Charmain Josie's Testimonial,https://www.youtube.com/watch?v=AhcSWV7d4Ko,unknown
139,Va476cehZ8s,"Metabolism Problem, Weight Symptom - Most Weight Loss Programs are Health Loss Programs",https://www.youtube.com/watch?v=Va476cehZ8s,unknown
140,qQhqjoUinUA,The Amazing Gallbladder,https://www.youtube.com/watch?v=qQhqjoUinUA,unknown
141,dqFGhA0hz3o,"Understanding Acidity, Alkalinity, and the Many Myths About pH",https://www.youtube.com/watch?v=dqFGhA0hz3o,unknown
142,HWI1TljBsaw,Sugar Toxicity,https://www.youtube.com/watch?v=HWI1TljBsaw,unknown
143,14FhxVeAnwM,The Real Agenda Behind the Gun Debate,https://www.youtube.com/watch?v=14FhxVeAnwM,unknown
144,wWGzfNaVHiE,Understanding the Women Menstrual Cycle and Estrogen Dominance – Dr. Berg,https://www.youtube.com/watch?v=wWGzfNaVHiE,unknown
145,P7fHYSyvxU0,Blood Sugar and Diabetes Myths Exposed: Dr. Berg Uncovers the Truth,https://www.youtube.com/watch?v=P7fHYSyvxU0,unknown
146,jcrii9_Um0I,The Cause of Neck and Shoulder Pain – Dr. Berg,https://www.youtube.com/watch?v=jcrii9_Um0I,unknown
147,xGZZESrXSgw,The Reason Why Protein Is Used for Fat Burning – Dr. Berg,https://www.youtube.com/watch?v=xGZZESrXSgw,unknown
148,7INJsjZwSQ8,The Pain Of Pleasure Foods – Dr. Berg,https://www.youtube.com/watch?v=7INJsjZwSQ8,unknown
149,B_Y-ceKnSYI,How to Get Rid of Sinus Congestion? – Acupressure for Sinus – Dr. Berg,https://www.youtube.com/watch?v=B_Y-ceKnSYI,unknown
150,36TS6v9YQnU,Sheila Gray Talks About Her Visit with Dr. Berg,https://www.youtube.com/watch?v=36TS6v9YQnU,unknown
151,7DWg-y875CE,Norma Setner Talks about her visit with Dr. Eric Berg DC,https://www.youtube.com/watch?v=7DWg-y875CE,unknown
152,6Ml79LrZUHU,Nancy Belsoy talks about her visit with Dr Berg,https://www.youtube.com/watch?v=6Ml79LrZUHU,unknown
153,hq2oIc275WA,Linda Fitzpatrick talks about her visit with Dr. Berg,https://www.youtube.com/watch?v=hq2oIc275WA,unknown
154,E1CijpqYu88,Karen Crock talks about her success with Dr. Berg with sleep,https://www.youtube.com/watch?v=E1CijpqYu88,unknown
155,VugA3SZZTbY,Tondra Denise Turner Talks About Dr. Berg's Visit,https://www.youtube.com/watch?v=VugA3SZZTbY,unknown
156,R0GKQDJocnU,Gloria Patterson talks about her visit with Dr. Berg,https://www.youtube.com/watch?v=R0GKQDJocnU,unknown
157,pm49uFWTYBI,What are the Real Causes of Thyroid Problems? – Dr.Berg,https://www.youtube.com/watch?v=pm49uFWTYBI,unknown
158,2BotxbEsPME,The Myths Of Soy As A Health Food – Dr. Berg,https://www.youtube.com/watch?v=2BotxbEsPME,unknown
159,6dbyeQXtCpk,Synthetic Vitamins – Most Vitamins Are Synthetic – Dr. Berg,https://www.youtube.com/watch?v=6dbyeQXtCpk,unknown
160,iatYZxyoEkU,Reasons for Deficiency of Vitamin D – Dr.Berg,https://www.youtube.com/watch?v=iatYZxyoEkU,unknown
161,TSqHhy3LEKo,The Cholesterol Myths & Facts,https://www.youtube.com/watch?v=TSqHhy3LEKo,unknown
162,MWFAUM9OqYk,Dr. Berg's Most Effective Remedies,https://www.youtube.com/watch?v=MWFAUM9OqYk,unknown
163,vOdBZpqay6Q,What's Missing In Healthcare is the Health Part – Dr.Berg,https://www.youtube.com/watch?v=vOdBZpqay6Q,unknown
164,LpNqXUzwqPs,"Benefits of Iodine: The Healing Trace Minerals for Cysts, Thyroid, PCOD and more – Dr.Berg",https://www.youtube.com/watch?v=LpNqXUzwqPs,unknown
165,hLP3SnbQvEc,Are Calcium Supplements Safe For You? – Dr. Berg,https://www.youtube.com/watch?v=hLP3SnbQvEc,unknown
166,iuXFE_oIQdM,Sudden Flabby Thighs & Butt in Menopause and Perimenopause – Dr. Berg,https://www.youtube.com/watch?v=iuXFE_oIQdM,unknown
167,uMIa3HNm7ks,Fibromyalgia Pain Relief Using Acupressure Points – Dr.Berg,https://www.youtube.com/watch?v=uMIa3HNm7ks,unknown
168,tmRirTYtaS4,What To Do When Nothing Works For Weight Loss? – Dr.Berg's Tips,https://www.youtube.com/watch?v=tmRirTYtaS4,unknown
169,Izi-PNI7_Dc,How To Stop Procrastinating & Improve Low Willpower? – Dr.Berg,https://www.youtube.com/watch?v=Izi-PNI7_Dc,unknown
170,xypKNntXJv4,"The Singer's Cure: For Laryngitis, Hoarseness, Vocal Cord Paralysis, and Sore Throats – Dr. Berg",https://www.youtube.com/watch?v=xypKNntXJv4,unknown
171,Woad6uGe6m0,Kale Super Food Green Juice,https://www.youtube.com/watch?v=Woad6uGe6m0,unknown
172,W8Gtk067h5Y,Dr. Berg's Recipe for the Healthiest Pizza in the World,https://www.youtube.com/watch?v=W8Gtk067h5Y,unknown
173,9MpeSudXyRs,"How Food Affects Your Mood / Improve Anxiety, Depression & ADD – Dr. Berg",https://www.youtube.com/watch?v=9MpeSudXyRs,unknown
174,TeCwH6vzjzc,What Causes Fatigue? – Dr. Berg,https://www.youtube.com/watch?v=TeCwH6vzjzc,unknown
175,LnjZQzB3BP8,The Best Breathing Exercise for Sleep – Dr.Berg,https://www.youtube.com/watch?v=LnjZQzB3BP8,unknown
176,HEVJmfvKnwE,Fat Burning Foods – Dr. Berg,https://www.youtube.com/watch?v=HEVJmfvKnwE,unknown
177,3c3fQvTvcqQ,Acupressure for Adrenal Stress – Dr. Berg,https://www.youtube.com/watch?v=3c3fQvTvcqQ,unknown
178,i0-ZWnXBxxc,"Vegetarian vs Meat Eater, What Is Better? – Dr.Berg",https://www.youtube.com/watch?v=i0-ZWnXBxxc,unknown
