idx,id,title,url,date
1,nm15-Tftb8E,This Vitamin MISTAKE is Super Unhealthy!,https://www.youtube.com/watch?v=nm15-Tftb8E,unknown
2,u6xyOtp5sIE,End Dry Cough in 5 Minutes – Here’s How!,https://www.youtube.com/watch?v=u6xyOtp5sIE,2025-02-19
3,LEsPN-9ekiA,THIS HAS GOT TO STOP!!,https://www.youtube.com/watch?v=LEsPN-9ekiA,2025-02-22
4,XyX98bnDaow,Egg Prices Are NOT by Accident,https://www.youtube.com/watch?v=XyX98bnDaow,2025-02-23
5,23yNXtR-N1s,#1 Best Meal to Clean Out Your Arteries,https://www.youtube.com/watch?v=23yNXtR-N1s,2025-02-25
6,xEg9b3YPJj0,STOP Nighttime Peeing Now: IT REALLY WORKS,https://www.youtube.com/watch?v=xEg9b3YPJj0,2025-02-26
7,K1whvDMDogU,CRITICAL: Detoxify Your Brain from Microplastics,https://www.youtube.com/watch?v=K1whvDMDogU,2025-03-01
8,zW8Cu4vcReY,80% of Heart Attacks & Strokes Happen Because of THIS,https://www.youtube.com/watch?v=zW8Cu4vcReY,2025-03-02
9,Sn7T46fCjLE,"10,000 IU of Vitamin D: HUGE MISTAKE?!",https://www.youtube.com/watch?v=Sn7T46fCjLE,2025-03-04
10,bksYSwtJVM0,DON'T IGNORE THIS IF YOU'RE OVER 50!!!,https://www.youtube.com/watch?v=bksYSwtJVM0,2025-03-05
